wallclock,roomId,roundId,mode,clientId,name,label,result,reason,R_ms,opponentR_ms,diff_ms,flying,noInput,disconnected,invalidReason,forged,synthetic,extraTaps,serverElapsed_ms,rttMedian_ms,rttP95_ms,rttJitter_ms,residual_ms,recvToPaint_ms,inputToHandler_ms,frameInterval_ms,refreshHz_est,visibilityOk,W_ms,delayUp_ms,delayDown_ms
2026-09-12T15:45:08.772Z,hz60,1,solo,c1,mac60,mac-chrome-60hz,solo,計測のみ,200.65,,,false,false,false,,false,true,0,219.62,1.5,3.3,0.64,17.47,-0.7,0,16.65,60,true,337.74,0,0
2026-09-12T15:45:09.605Z,hz60,2,solo,c1,mac60,mac-chrome-60hz,solo,計測のみ,201.1,,,false,false,false,,false,true,0,227.41,1.5,3.3,0.65,24.81,7.4,0,16.6,60,true,557.75,0,0
2026-09-12T15:45:10.486Z,hz60,3,solo,c1,mac60,mac-chrome-60hz,solo,計測のみ,199.9,,,false,false,false,,false,true,0,228.07,1.5,3.3,0.65,26.67,9.9,0,16.6,60,true,590.32,0,0
2026-09-12T15:45:11.427Z,hz60,4,solo,c1,mac60,mac-chrome-60hz,solo,計測のみ,200.3,,,false,false,false,,false,true,0,227.78,1.5,3.3,0.64,25.98,9.8,0,16.6,60,true,682.93,0,0
2026-09-12T15:45:12.270Z,hz60,5,solo,c1,mac60,mac-chrome-60hz,solo,計測のみ,200.5,,,false,false,false,,false,true,0,219.1,1.5,3.3,0.64,17.1,0.1,0,16.6,60,true,562.3,0,0
2026-09-12T15:45:13.012Z,hz60,6,solo,c1,mac60,mac-chrome-60hz,solo,計測のみ,200.6,,,false,false,false,,false,true,0,225.96,1.5,3.3,0.61,23.86,7.3,0,16.6,60,true,451.41,0,0
2026-09-12T15:45:14.053Z,hz60,7,solo,c1,mac60,mac-chrome-60hz,solo,計測のみ,200.9,,,false,false,false,,false,true,0,232.19,1.5,3.3,0.64,29.79,13.3,0,16.6,60,true,757.12,0,0
2026-09-12T15:45:14.953Z,hz60,8,solo,c1,mac60,mac-chrome-60hz,solo,計測のみ,200.8,,,false,false,false,,false,true,0,220.28,1.5,3.3,0.65,17.98,1,0,16.6,60,true,577.52,0,0
2026-09-12T15:45:15.853Z,hz60,9,solo,c1,mac60,mac-chrome-60hz,solo,計測のみ,200.6,,,false,false,false,,false,true,0,233.13,1.5,3.2,0.57,31.03,13.8,0,16.6,60,true,618.9,0,0
2026-09-12T15:45:16.678Z,hz60,10,solo,c1,mac60,mac-chrome-60hz,solo,計測のみ,200.1,,,false,false,false,,false,true,0,222.63,1.5,3.2,0.56,21.03,4.3,0,16.6,60,true,485.38,0,0
2026-09-12T15:45:17.552Z,hz60,11,solo,c1,mac60,mac-chrome-60hz,solo,計測のみ,199.8,,,false,false,false,,false,true,0,225.5,1.5,3.2,0.56,24.2,7.6,0,16.6,60,true,632.52,0,0
2026-09-12T15:45:18.220Z,hz60,12,solo,c1,mac60,mac-chrome-60hz,solo,計測のみ,200.4,,,false,false,false,,false,true,0,220.34,1.5,3.2,0.55,18.44,1.8,0,16.6,60,true,333.09,0,0
2026-09-12T15:45:18.929Z,hz60,13,solo,c1,mac60,mac-chrome-60hz,solo,計測のみ,201.1,,,false,false,false,,false,true,0,223.46,1.5,3.2,0.55,20.86,4.1,0,16.6,60,true,436.63,0,0
2026-09-12T15:45:19.770Z,hz60,14,solo,c1,mac60,mac-chrome-60hz,solo,計測のみ,200.6,,,false,false,false,,false,true,0,222.22,1.5,3.2,0.6,20.12,3,0,16.6,60,true,549.24,0,0
2026-09-12T15:45:20.612Z,hz60,15,solo,c1,mac60,mac-chrome-60hz,solo,計測のみ,201.3,,,false,false,false,,false,true,0,219.28,1.5,3.2,0.59,16.48,0.3,0,16.6,60,true,547.38,0,0
2026-09-12T15:45:21.644Z,hz60,16,solo,c1,mac60,mac-chrome-60hz,solo,計測のみ,200.5,,,false,false,false,,false,true,0,218,1.5,3.2,0.58,16,-0.2,0,16.6,60,true,733.47,0,0
2026-09-12T15:45:22.429Z,hz60,17,solo,c1,mac60,mac-chrome-60hz,solo,計測のみ,201,,,false,false,false,,false,true,0,223.53,1.45,3.2,0.58,21.08,4.4,0,16.6,60,true,543.91,0,0
2026-09-12T15:45:23.054Z,hz60,18,solo,c1,mac60,mac-chrome-60hz,solo,計測のみ,201.3,,,false,false,false,,false,true,0,221.33,1.4,3.2,0.59,18.63,2.3,0,16.6,60,true,323.4,0,0
2026-09-12T15:45:24.003Z,hz60,19,solo,c1,mac60,mac-chrome-60hz,solo,計測のみ,200.1,,,false,false,false,,false,true,0,228.64,1.4,3.2,0.54,27.14,9.9,0,16.6,60,true,659.41,0,0
2026-09-12T15:45:25.037Z,hz60,20,solo,c1,mac60,mac-chrome-60hz,solo,計測のみ,201.4,,,false,false,false,,false,true,0,221.91,1.4,3.2,0.54,19.11,2.4,0,16.6,60,true,731.52,0,0
2026-09-12T15:45:25.928Z,hz60,21,solo,c1,mac60,mac-chrome-60hz,solo,計測のみ,200.2,,,false,false,false,,false,true,0,231.8,1.4,3.2,0.53,30.2,13.4,0,16.6,60,true,645.04,0,0
2026-09-12T15:45:26.837Z,hz60,22,solo,c1,mac60,mac-chrome-60hz,solo,計測のみ,200.5,,,false,false,false,,false,true,0,223.78,1.4,3.2,0.54,21.88,5.1,0,16.6,60,true,588.69,0,0
2026-09-12T15:45:27.445Z,hz60,23,solo,c1,mac60,mac-chrome-60hz,solo,計測のみ,200.4,,,false,false,false,,false,true,0,220.78,1.4,3.2,0.53,18.98,2,0,16.6,60,true,350.14,0,0
